model_name,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
Logistic Regression,0.7493562231759656,0.344311377245509,0.6117021276595744,0.44061302681992337,0.744277967725778,0.2485826015472412
Random Forest,0.792274678111588,0.38461538461538464,0.4787234042553192,0.4265402843601896,0.7591683181253946,5.210616827011108
Extra Trees,0.7699570815450644,0.35714285714285715,0.5319148936170213,0.42735042735042733,0.7647705742720878,10.152751445770264
